ID,date,item
T375,2022-04-01,BUTTER (AMUL)
T379,2022-04-01,CONFECTIONERY - ECLAIRS (MELODY CHOCOLATY)
T381,2022-04-01,CHOCOLATE PANNED (CADBURY SHOTS)
T382,2022-04-01,MAIN PACKS (WAGH BAKRI INSTANT)
T384,2022-04-01,POWDERED SALT (TATA SALT)
T385,2022-04-01,MOULDED (DAIRY MILK)|DESSERT MIXES (MTR)
T386,2022-04-01,COATED WAFER BISC (GANDOUR)|POTATO WAFERS (LAYS AMERICAN STYLE)|POTATO WAFERS (LAYS CARIBBEAN STYLE)
T389,2022-04-01,MOULDED (DAIRY MILK)
T390,2022-04-01,CHOCOLATE PANNED (CADBURY SHOTS)|CREAM (GOLDEN OREO)
T391,2022-04-01,BLENDED (CHING'S SECRET)
T392,2022-04-01,MAIN PACKS (WAGH BAKRI PATTI LEAF)
T396,2022-04-01,MAIN PACKS (SOCIETY LEAF)
T399,2022-04-01,POTATO WAFERS (LAYS CLASSIC SALTED)|POWDERED SALT (TATA SALT)
T400,2022-04-01,FABRIC SOFTNERS (COMFORT BLUE - MORNING FRESH)|DAIRY WHITNERS (EVERYDAY DAIRY WHITNER)
T401,2022-04-01,MAIN PACKS (TATA AGNI DUST)
T402,2022-04-01,SACHETS (HEAD & SHOULDERS NEW)
T403,2022-04-01,CREAM (OREO CHOCOLATE)|SWEET/COOKIES (NUTRICHOICE DIGESTIVE)|SWEET/COOKIES (HIDE & SEEK AMERICAN)|MARIE (MARIE GOLD REGULAR)
T406,2022-04-01,INSTANT NOODLES (MAGGI MASALA)|CREAM (HIDE & SEEK CREME SANDWICH)|INSTANT NOODLES (SUNFEAST YIPPEE MAGIC MASALA)|CREAM (OREO CHOCOLATE)|CREAM (OREO STRAWBERRY)
T409,2022-04-01,SUGAR PANNED (GEMS BFF)
T410,2022-04-01,MAIN PACKS (TATA AGNI DUST)
T411,2022-04-01,TOFFEES (CHUPA CHUPS SOUR BELT)|SACHETS (PANTENE PRO-V NEW)
T414,2022-04-01,CREAM (OREO CHOCOLATE)
T415,2022-04-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T416,2022-04-01,LIQUIDS (MR MUSCLE)|SWEET/COOKIES (PILLSBURY)|TOFFEES (CHUPA CHUPS SOUR BELT)
T418,2022-04-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T421,2022-04-01,TOFFEES (YOLI YOLA)
T424,2022-04-01,INSTANT NOODLES (MAGGI MASALA)|POWDERED SALT (TATA SALT)
T425,2022-04-01,TOOTH PASTES (COLGATE MAX FRESH ICY BLAST)|POPULAR (MEDIMIX CLASSIC)|WASHING POWDERS/LIQUIDS (ARIEL COMPLETE)
T427,2022-04-01,COUNT (KINDER JOY GIRLS)|COUNT (KINDER JOY BOYS)
T428,2022-04-01,TOFFEES (CHUPA CHUPS SOUR BELT)|COATED WAFER BISC (KITKAT)|CREAM (OREO STRAWBERRY)|DETERGENT CAKES/BARS (SARGAM)
T433,2022-04-01,POTATO WAFERS (LAYS CLASSIC SALTED)
T437,2022-04-01,BROWN POWDERS (PEDIASURE)|COATED WAFER BISC (KITKAT)
T438,2022-04-01,COUNT (MR. WAFER)
T439,2022-04-01,CREAM (OREO STRAWBERRY)|POTATO WAFERS (LAYS CARIBBEAN STYLE)
T440,2022-04-01,COUNT (MR. WAFER)
T443,2022-04-01,POWDERS (ENO FRUIT SALT)|NON-SALT CRACKER (PRIYA GL CHES CRCK)|NON-SALT CRACKER (50-50 REGULAR)
T444,2022-04-01,POWDERED SALT (TATA SALT LITE)|SOLIDS (ODONIL)|MAIN PACKS (WAGH BAKRI PATTI LEAF)|PREMIUM (DYNA LIME & ALOEVERA)|SUN FLOWER (SUNDAY)|TRADITIONAL (VIM)|LIQUID BLEACHES (RIN)
T446,2022-04-01,INSTANT NOODLES (KNORR DESI)|SWEET/COOKIES (GOOD DAY CASHEW)|TRADITIONAL (VIM)|SWEET/COOKIES (NICE TIME)|CREAM (OREO CHOCOLATE)|CREAM (GOLDEN OREO)|INSTANT NOODLES (MAGGI MASALA)
T447,2022-04-01,COATED WAFER BISC (KITKAT)|LOLIPOPS (CHUPA CHUPS)|TOFFEES (CHUPA CHUPS SOUR BITES)
T448,2022-04-01,CREAM (OREO STRAWBERRY)
T449,2022-04-01,CREAM (OREO STRAWBERRY)|PASTA (MAGGI PAZTA CHESY TOMATO TWIST)|MAIN PACKS (BROOKE BOND TAJ MAHAL)|PROCESSED CHEESE (BRITANNIA)|BUTTER (AMUL)|TRADITIONAL (PRIL PERFECT)|KETCHUPS/SAUCES (KISSAN NO ONION NO GARLIC)|BANANA CHIPS/LACHA/OTHERS (GARDEN)|POWDER (SUGAR SUBST) (DAURALA)|MAIN PACKS (TYPHOO)
T450,2022-04-01,CREAM (OREO STRAWBERRY)
T452,2022-04-01,CREAM (GOLDEN OREO)
T453,2022-04-01,POTATO WAFERS (LAYS CARIBBEAN STYLE)|GLUCOSE (PARLE-G GOLD)|CREAM (GOLDEN OREO)|CREAM (BRITANNIA BOURBON)|NON-SALT CRACKER (PARLE TOP)
T454,2022-04-01,MOULDED (FRUIT AND NUT)
T455,2022-04-01,POTATO WAFERS (LAYS MAGIC MASALA)
T457,2022-04-01,CREAM (OREO CHOCOLATE)
T458,2022-04-01,TOFFEES (CHUPA CHUPS SOUR BELT)|AEROSOL (HIT)
T459,2022-04-01,DETERGENT CAKES/BARS (SARGAM)
T460,2022-04-01,PREMIUM (GODREJ NO 1 ROSEWATER & ALMOND)
T462,2022-04-01,ATTA (SILVER COIN)
T463,2022-04-01,READY TO EAT CEREALS (KELLOGG'S CHOCOS FILLS KPAK)
T464,2022-04-01,BROWN POWDERS (BOURNVITA)|MARIE (VITA MARIE GOLD)
T467,2022-04-01,POTATO WAFERS (LAYS CHILE LIMON)
T470,2022-04-01,POTATO WAFERS (LAYS CHILE LIMON)|MAIN PACKS (TATA GOLD)|RIGID (PARACHUTE ADV ALOEVERA ENR CNO)|COATED WAFER BISC (KITKAT)|PURE (EVEREST)
T472,2022-04-01,BUTTER (AMUL)
T474,2022-04-01,SUN FLOWER (SUNDAY)
T476,2022-04-01,CREAM (GOLDEN OREO)
T477,2022-04-01,COUNT (KINDER JOY BOYS)
T478,2022-04-01,KETCHUPS/SAUCES (KISSAN FRESH KETCHUP)|PROCESSED CHEESE (AMUL)
T479,2022-04-01,BRANDED (PARACHUTE)
T480,2022-04-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)|POWDERED SALT (TATA SALT LITE)
T482,2022-04-01,SUGAR PANNED (GEMS BFF)
T483,2022-04-01,POTATO WAFERS (LAYS CARIBBEAN STYLE)
T484,2022-04-01,MANUAL (CAVITY DEFENSE BLACK)
T485,2022-04-01,READY TO EAT CEREALS (KELLOGG'S CHOCOS FILLS KPAK)
T486,2022-04-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T488,2022-04-01,SWEET/COOKIES (GOOD DAY CASHEW)
T489,2022-04-01,SWEET/COOKIES (PILLSBURY)|GATHIA/PAPRI/RIBLON (KUR KURE SOLID MASTI)|POTATO WAFERS (LAYS CARIBBEAN STYLE)
T490,2022-04-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T492,2022-04-01,COATED WAFER BISC (KITKAT)
T494,2022-04-01,SWEET/COOKIES (GOOD DAY CASHEW)
T495,2022-05-01,DIAPERS       (8/93) (PAMPERS BABY DRY PANTS)
T499,2022-05-01,SWEET/COOKIES (GOOD DAY CASHEW)
T500,2022-05-01,VANASPATI CONS PACK (8/94) (GODREJ)|EXTRUDED SNACKS (TOO YUMM MULTIGRAIN CHIPS)|PROCESSED CHEESE (AMUL)|BUTTER (AMUL)|PROCESSED CHEESE (AMUL)
T502,2022-05-01,AGARBATTI (CYCLE 3 IN 1)
T503,2022-05-01,MAIN PACKS (WAGH BAKRI PATTI LEAF)
T505,2022-05-01,INSTANT NOODLES (ZOOPY)|INSTANT NOODLES (MAGGI MASALA)|POTATO WAFERS (LAYS CARIBBEAN STYLE)
T506,2022-05-01,CREAM (TREAT JAM)
T507,2022-05-01,SOLIDS (ODONIL)
T508,2022-05-01,CREAM (BRITANNIA BOURBON)
T511,2022-05-01,SUN FLOWER (SUNDAY)
T512,2022-05-01,CREAM (HIDE & SEEK CREME SANDWICH)|CONCTN POWDERS (TANG)|ANTISEPTIC CREAMS (HIMALAYA DIAPER RASH)
T513,2022-05-01,COUNT (5 STAR)
T515,2022-05-01,SCOURING PADS (HIC ALOK SHAKTI)|SALT CRACKER (MONACO)|INSTANT NOODLES (MAGGI MASALA)
T517,2022-05-01,SWEET/COOKIES (GOOD DAY CHOCOLATE)
T518,2022-05-01,TOFFEES (YOLI YOLA)
T519,2022-05-01,BLENDED (EVEREST)
T520,2022-05-01,DETERGENT CAKES/BARS (SARGAM)
T521,2022-05-01,COUNT (SNICKERS)
